15	7	U	-1.1118470286267973E7	93
emissionprobs	2	5	H3K9me3	0	0.9832559335724743
emissionprobs	2	5	H3K9me3	1	0.016744066427525725
emissionprobs	2	6	H4K20me3	0	0.9389523872686867
emissionprobs	2	6	H4K20me3	1	0.06104761273131329
emissionprobs	3	0	H3K27ac	0	0.9575392764653018
emissionprobs	3	0	H3K27ac	1	0.042460723534698305
emissionprobs	3	1	H3K27me3	0	0.9844973636308573
emissionprobs	3	1	H3K27me3	1	0.015502636369142685
emissionprobs	3	2	H3K36me3	0	0.9853456777589752
emissionprobs	3	2	H3K36me3	1	0.014654322241024776
emissionprobs	3	3	H3K4me1	0	0.009769489558645926
emissionprobs	3	3	H3K4me1	1	0.990230510441354
emissionprobs	3	4	H3K4me3	0	0.00931218594931538
emissionprobs	3	4	H3K4me3	1	0.9906878140506845
emissionprobs	3	5	H3K9me3	0	0.9993865843336174
emissionprobs	3	5	H3K9me3	1	6.134156663825314E-4
emissionprobs	3	6	H4K20me3	0	0.9956190034285591
emissionprobs	3	6	H4K20me3	1	0.004380996571440797
emissionprobs	4	0	H3K27ac	0	0.9819499209005377
emissionprobs	4	0	H3K27ac	1	0.01805007909946228
emissionprobs	4	1	H3K27me3	0	0.07135126727808921
emissionprobs	4	1	H3K27me3	1	0.9286487327219108
emissionprobs	4	2	H3K36me3	0	0.9954353268735784
emissionprobs	4	2	H3K36me3	1	0.00456467312642153
emissionprobs	4	3	H3K4me1	0	0.12407767801423404
emissionprobs	4	3	H3K4me1	1	0.8759223219857659
emissionprobs	4	4	H3K4me3	0	7.927719757965053E-48
emissionprobs	4	4	H3K4me3	1	1.0
emissionprobs	4	5	H3K9me3	0	0.9870884137629584
emissionprobs	4	5	H3K9me3	1	0.01291158623704162
emissionprobs	4	6	H4K20me3	0	0.9345100862388322
emissionprobs	4	6	H4K20me3	1	0.06548991376116788
emissionprobs	5	0	H3K27ac	0	0.03359337433705413
emissionprobs	5	0	H3K27ac	1	0.9664066256629459
emissionprobs	5	1	H3K27me3	0	0.9997309861334143
emissionprobs	5	1	H3K27me3	1	2.6901386658564474E-4
emissionprobs	5	2	H3K36me3	0	0.9152179231137237
emissionprobs	5	2	H3K36me3	1	0.08478207688627631
emissionprobs	5	3	H3K4me1	0	0.004594514051206769
emissionprobs	5	3	H3K4me1	1	0.9954054859487933
