sample	sampleName	total	chrx	chr16	fold	rpm	rpm.chrx	rpm.chr16	rpm.spikein	asyn.spikein	sf	meansf.25	ID	cells	time	group	batch	batch1
2415295_iaa_aid23_mit	2415295_iaa_aid23_mit.counts	252584658	1182098	1474663	0.801605519	0.003959069	4680.007129	5838.292047	6306.29276	803.0913283	7.852522544	4	2415295	aid23	mit	IAA	aid1	aid1
dmso_30_aid06_2425064	dmso_30_aid06_2425064.counts	785223578	2781266	307741	9.037684286	0.001273523	3542.005205	391.9151292	746.1156496	713.0880132	1.046316353	1.3339738835	2425064	aid06	30	DMSO	aid2	aid2
dmso_30_aid06_2425110	dmso_30_aid06_2425110.counts	294949650	1428610	249007	5.737228271	0.003390409	4843.572454	844.2356178	1328.592863	713.0880132	1.863154111	1.3339738835	2425110	aid06	30	DMSO	aid2	aid2
dmso_30_aid23_2425071	dmso_30_aid23_2425071.counts	317895001	744264	107061	6.951775156	0.003145693	2341.225869	336.7810115	570.9035984	713.0880132	0.800607482	1.3339738835	2425071	aid23	30	DMSO	aid2	aid2
dmso_30_aid23_2425117	dmso_30_aid23_2425117.counts	346877424	1179427	284210	4.149843426	0.002882863	3400.126149	819.3384185	1159.351033	713.0880132	1.625817588	1.3339738835	2425117	aid23	30	DMSO	aid2	aid2
IAA_30_aid06_2425067	IAA_30_aid06_2425067.counts	449342095	2433773	356182	6.832947763	0.002225476	5416.30314	792.6744544	1334.304768	713.0880132	1.871164209	4	2425067	aid06	30	IAA	aid2	aid2
IAA_30_aid06_2425113	IAA_30_aid06_2425113.counts	323532561	2040674	540742	3.77384039	0.003090879	6307.476421	1671.368095	2302.115737	713.0880132	3.228375311	4	2425113	aid06	30	IAA	aid2	aid2
IAA_30_aid23_2425074	IAA_30_aid23_2425074.counts	287170238	3205914	437653	7.325241687	0.003482255	11163.81009	1524.019352	2640.400361	713.0880132	3.70276924	4	2425074	aid23	30	IAA	aid2	aid2
IAA_30_aid23_2425120	IAA_30_aid23_2425120.counts	336302265	5795716	1246631	4.649103063	0.002973516	17233.6514	3706.87661	5430.24175	713.0880132	7.615107321	4	2425120	aid23	30	IAA	aid2	aid2
dmso_60_aid06_2425065	dmso_60_aid06_2425065.counts	284569387	1016828	106831	9.518098679	0.003514081	3573.216398	375.4128338	732.7344736	713.0880132	1.027551242	1.26234000425	2425065	aid06	60	DMSO	aid2	aid2
dmso_60_aid06_2425111	dmso_60_aid06_2425111.counts	350352808	1255445	253281	4.956727903	0.002854266	3583.373592	722.9312688	1081.268628	713.0880132	1.516318614	1.26234000425	2425111	aid06	60	DMSO	aid2	aid2
dmso_60_aid23_2425072	dmso_60_aid23_2425072.counts	330517647	952951	116444	8.18377074	0.003025557	2883.207625	352.3079662	640.6287287	713.0880132	0.898386618	1.26234000425	2425072	aid23	60	DMSO	aid2	aid2
dmso_60_aid23_2425118	dmso_60_aid23_2425118.counts	310434950	1078024	247958	4.347607256	0.003221287	3472.624458	798.743827	1146.006273	713.0880132	1.607103543	1.26234000425	2425118	aid23	60	DMSO	aid2	aid2
IAA_60_aid06_2425068	IAA_60_aid06_2425068.counts	321484308	2152496	264844	8.127410853	0.003110572	6695.493206	823.8162592	1493.36558	713.0880132	2.094223367	3.776511259	2425068	aid06	60	IAA	aid2	aid2
IAA_60_aid06_2425114	IAA_60_aid06_2425114.counts	284841983	2721107	634158	4.290897537	0.003510718	9553.040501	2226.35018	3181.65423	713.0880132	4.461797381	3.776511259	2425114	aid06	60	IAA	aid2	aid2
IAA_60_aid23_2425075	IAA_60_aid23_2425075.counts	345349490	3440959	326907	10.52580397	0.002895617	9963.70083	946.5976046	1942.967688	713.0880132	2.724723529	3.776511259	2425075	aid23	60	IAA	aid2	aid2
IAA_60_aid23_2425121	IAA_60_aid23_2425121.counts	357836573	5326750	953761	5.584994564	0.002794572	14885.9854	2665.353605	4153.952145	713.0880132	5.825300759	3.776511259	2425121	aid23	60	IAA	aid2	aid2
dmso_90_aid06_2425076	dmso_90_aid06_2425076.counts	320862904	1632288	148527	10.98984023	0.003116596	5087.182032	462.8986341	971.6168373	713.0880132	1.362548268	1.19574341375	2425076	aid06	90	DMSO	aid2	aid2
dmso_90_aid06_2425092	dmso_90_aid06_2425092.counts	317639166	1165667	147195	7.919202419	0.003148226	3669.783593	463.4031812	830.3815405	713.0880132	1.164486747	1.19574341375	2425092	aid06	90	DMSO	aid2	aid2
dmso_90_aid23_2425084	dmso_90_aid23_2425084.counts	335770360	1167771	144395	8.087336819	0.002978226	3477.885898	430.0409363	777.8295261	713.0880132	1.090790354	1.19574341375	2425084	aid23	90	DMSO	aid2	aid2
dmso_90_aid23_2425100	dmso_90_aid23_2425100.counts	310611160	972703	160802	6.049072773	0.003219459	3131.577758	517.6955007	830.8532765	713.0880132	1.165148286	1.19574341375	2425100	aid23	90	DMSO	aid2	aid2
IAA_90_aid06_2425080	IAA_90_aid06_2425080.counts	406717391	3955969	387276	10.2148571	0.00245871	9726.579408	952.1992631	1924.857204	713.0880132	2.699326266	3.30842885075	2425080	aid06	90	IAA	aid2	aid2
IAA_90_aid06_2425096	IAA_90_aid06_2425096.counts	344854505	2286841	223995	10.20933949	0.002899774	6631.321229	649.5347944	1312.666917	713.0880132	1.840820338	3.30842885075	2425096	aid06	90	IAA	aid2	aid2
IAA_90_aid23_2425088	IAA_90_aid23_2425088.counts	317452212	3055153	553323	5.521463955	0.00315008	9623.977671	1743.011953	2705.40972	713.0880132	3.793935208	3.30842885075	2425088	aid23	90	IAA	aid2	aid2
IAA_90_aid23_2425104	IAA_90_aid23_2425104.counts	340330552	3189737	870097	3.665955635	0.00293832	9372.467389	2556.623244	3493.869983	713.0880132	4.899633591	3.30842885075	2425104	aid23	90	IAA	aid2	aid2
dmso_120_aid06_2425077	dmso_120_aid06_2425077.counts	313980259	1657923	176421	9.397537708	0.003184914	5280.341526	561.8856439	1089.919797	713.0880132	1.528450593	1.431643831	2425077	aid06	120	DMSO	aid2	aid2
dmso_120_aid06_2425093	dmso_120_aid06_2425093.counts	335485470	1307899	218065	5.997748378	0.002980755	3898.526514	649.9983442	1039.850996	713.0880132	1.458236538	1.431643831	2425093	aid06	120	DMSO	aid2	aid2
dmso_120_aid23_2425085	dmso_120_aid23_2425085.counts	334842171	1369760	188931	7.250054253	0.002986482	4090.763108	564.238965	973.3152758	713.0880132	1.364930076	1.431643831	2425085	aid23	120	DMSO	aid2	aid2
dmso_120_aid23_2425101	dmso_120_aid23_2425101.counts	377105828	1357695	233970	5.802859341	0.002651776	3600.302353	620.4359165	980.4661518	713.0880132	1.374958117	1.431643831	2425101	aid23	120	DMSO	aid2	aid2
IAA_120_aid06_2425081	IAA_120_aid06_2425081.counts	361038154	1102924	107690	10.24165661	0.00276979	3054.868267	298.2787243	603.7655511	713.0880132	0.846691488	1.02359242575	2425081	aid06	120	IAA	aid2	aid2
IAA_120_aid06_2425097	IAA_120_aid06_2425097.counts	403459591	999306	113819	8.779781934	0.002478563	2476.842842	282.1075581	529.7918423	713.0880132	0.742954351	1.02359242575	2425097	aid06	120	IAA	aid2	aid2
IAA_120_aid23_2425089	IAA_120_aid23_2425089.counts	445236383	1476214	211753	6.971395919	0.002245998	3315.573606	475.5968022	807.1541629	713.0880132	1.1319138	1.02359242575	2425089	aid23	120	IAA	aid2	aid2
IAA_120_aid23_2425105	IAA_120_aid23_2425105.counts	398680340	1376049	252677	5.445881501	0.002508275	3451.509548	633.7834467	978.9344014	713.0880132	1.372810064	1.02359242575	2425105	aid23	120	IAA	aid2	aid2
